item_id,type,csv_title,csv_author,matched_by,score,volume_id,gb_title,gb_authors,isbn13,isbn10,publisher,published,pages,categories,cover,description
4040723473,本,ザ・ビデオ・ゲーム・ウィズ・ノーネーム,赤野工作,isbn,1.0,NvKAswEACAAJ,ザ・ビデオ・ゲーム・ウィズ・ノーネーム,赤野工作,9784040723471,4040723473,,2017-06,0,Japanese fiction,https://books.google.com/books/content?id=NvKAswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2XXX年より、ゲーム愛をこめて。
404605168X,本,奇書の世界史2 歴史を動かす“もっとヤバい書物”の物語,三崎律日,isbn,1.0,FtTozgEACAAJ,奇書の世界史2 歴史を動かす“もっとヤバい書物”の物語,三崎律日,9784046051684,404605168X,,2022-03-02,272,,https://books.google.com/books/content?id=FtTozgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,奇書に潜む真実を知ったとき、「歴史っておもしろい」ではすまされない...。
4103364726,本,「全世界史」講義 教養に効く!人類5000年史 古代・中世編 (I),出口治明,isbn,1.0,71k2jwEACAAJ,「全世界史」講義 I 古代・中世編 教養に効く!人類5000年史,出口治明,9784103364726,4103364726,,2016-01,384,,https://books.google.com/books/content?id=71k2jwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,「教養の達人」のライフワーク、ついに登場!文明が誕生してから現在までの歴史を一気読み。読めば世界がひとつに繋がる!
4152100206,本,三体3 死神永生 上,劉慈欣,isbn,1.0,DNN3zgEACAAJ,三体 3 死神永生上,劉慈欣,9784152100207,4152100206,,2021-05,432,,https://books.google.com/books/content?id=DNN3zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,三体文明の地球侵略に対抗する「面壁計画」の裏で、極秘の「階梯計画」が進行していた。その目的は、三体艦隊に人類のスパイを送り込むこと!小説の歴史を塗り替えた驚異の中国エンタメ、ついに完結。
4152100214,本,三体3 死神永生 下,劉慈欣,isbn,1.0,BZV9zgEACAAJ,三体 3 死神永生下,劉慈欣,9784152100214,4152100214,,2021-05,448,,https://books.google.com/books/content?id=BZV9zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,地球文明と三体文明、二つの世界の運命をその手に握る執剣者(ソードホルダー)が下した決断とは!?世界を圧倒した現在中国最大の衝撃作、想像を遙か超えるその結末を目撃せよ。
B09QKS3KB4,電子書籍,サラバ　上・中・下巻　合本版 (小学館文庫),西加奈子,title,1.2,-WpZEAAAQBAJ,サラバ　上・中・下巻　合本版,西加奈子,,,小学館,,512,Fiction,https://books.google.com/books/content?id=-WpZEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,第152回直木賞受賞作、待望の電子化！『サラバ』上・中・下合本版！！ 僕はこの世界に左足から登場した――。 圷歩は、父の海外赴任先であるイランの病院で生を受けた。その後、父母、そして問題児の姉とともに、イラン革命のために帰国を余儀なくされた歩は、大阪での新生活を始める。幼稚園、小学校で周囲にすぐに溶け込めた歩と違って姉は「ご神木」と呼ばれ、孤立を深めていった。 そんな折り、父の新たな赴任先がエジプトに決まる。メイド付きの豪華なマンション住まい。初めてのピラミッド。日本人学校に通うことになった歩は、ある日、ヤコブというエジプト人の少年と出会うことになる。
B009GXM2OE,電子書籍,スティーブ・ジョブズ　II,ウォルター・アイザックソン,title,1.2,IIKqBQAAQBAJ,スティーブ・ジョブズ　II,ウォルター・アイザックソン / 井口耕二,,,講談社,2011-11-01,412,Social Science,https://books.google.com/books/content?id=IIKqBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,約三年にわたり、のべ数十時間にもおよぶ徹底した本人や家族へのインタビュー、未公開の家族写真なども世界初公開。ライバルだったビル・ゲイツをはじめ、アル・ゴア、ルパート・マードック、スティーブ・ウォズニアック、そして後継者のティム・クック……世界的に有名なジョブズ関係者百数十名へのインタビュー、コメントも豊富。
B0B6BR15YV,電子書籍,【閲覧注意】ネットの怖い話　クリーピーパスタ (ハヤカワ文庫NV),倉田 真木,title,1.05,inR6EAAAQBAJ,【閲覧注意】ネットの怖い話　クリーピーパスタ,ミスター クリーピーパスタ,,,早川書房,2022-07-20,172,Fiction,https://books.google.com/books/content?id=inR6EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,アメリカのネット怪談はこんなに怖い！5分でぞっとするショートストーリー集 ジェフ・ザ・キラーやスマイル・ドッグなどネット都市伝説から生まれたホラージャンル「クリーピーパスタ」。選りすぐりの15篇
B0798Q4DCD,電子書籍,ストーカー (ハヤカワ文庫SF),アルカジイ ストルガツキイ,title+author,1.2,_K9IDwAAQBAJ,ストーカー,アルカジイ ストルガツキイ / ボリス ストルガツキイ,,,早川書房,1983-02-14,164,Fiction,https://books.google.com/books/content?id=_K9IDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,
B09FXTPLQH,電子書籍,時間の王,宝樹,title,1.2,JEdCEAAAQBAJ,時間の王,宝樹,,,早川書房,2021-09-16,229,Fiction,https://books.google.com/books/content?id=JEdCEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,俺は時間の王だ――自分の人生のあらゆる時間を自由に通り抜けられる。些細な事故に遭ったせいで思い出した瞬間に戻ることができる能力を手に入れた主人公は、子供のころに会った少女の命を救おうとするのだが……。中国ＳＦの新星による７篇を収録した傑作集
