isbn,title,title_kana,subtitle,volume,series,author,authors,publisher,pubdate,pages,price,ccode,c_target,c_form,c_genre,cover,description,toc
9784040723471,ザ・ビデオ・ゲーム・ウィズ・ノーネーム = The video game with no name,ザ ビデオ ゲーム ウィズ ノー ネーム,,,,"赤野,工作","赤野, 工作",KADOKAWA,201706,,1200,,,,,,,
9784046051684,奇書の世界史. 2,キショ ノ セカイシ,,,,"三崎,律日,1990-","三崎, 律日, 1990-",KADOKAWA,202203,,1600,,,,,,,"歴史を動かす""もっとヤバい書物""の物語"
9784103364726,「全世界史」講義 = Complete History of the World : 教養に効く!人類5000年史 1 (古代・中世編),ゼンセカイシ コウギ : キョウヨウ ニ キク ジンルイ ゴセンネンシ,,,,"出口,治明,1948-","出口, 治明, 1948-",新潮社,201601,,1400,,,,,,,
9784152100207,三体. 3[上],サンタイ,,,,"劉,慈欣,1963- 大森,望,1961- 光吉,さくら ワン,チャイ 泊,功","劉, 慈欣, 1963- / 大森, 望, 1961- / 光吉, さくら / ワン, チャイ / 泊, 功",早川書房,202105,,1900,,,,,,,死神永生. 上
9784152100214,三体. 3[下],サンタイ,,,,"劉,慈欣,1963- 大森,望,1961- 光吉,さくら ワン,チャイ 泊,功","劉, 慈欣, 1963- / 大森, 望, 1961- / 光吉, さくら / ワン, チャイ / 泊, 功",早川書房,202105,,1900,,,,,,,死神永生. 下
9784863113411,SF作家の地球旅行記,エスエフ サッカ ノ チキュウ リョコウキ,,,,"柞刈,湯葉","柞刈, 湯葉",産業編集センター,202209,,1600,,,,,,,
9784344405134,リアル鬼ごっこ,リアル オニゴッコ,,,幻冬舎文庫,"山田,悠介,1981-","山田, 悠介, 1981-",幻冬舎,200404,,533,,,,,,,
9784101216522,動物たちのまーまー,ドウブツタチ ノ マーマー,,い-133-2,新潮文庫,"一條,次郎,1974-","一條, 次郎, 1974-",新潮社,202003,,630,,,,,,,テノリネコ アンラクギョ 貝殻プールでまちあわせ 採って穫って盗りまくれ まぼろしの地球音楽 ヘルメット・オブ・アイアン ベイシー伯爵のキラー入れ歯
9784101240541,風の海迷宮の岸,カゼ ノ ウミ メイキュウ ノ キシ,,お-37-54. 十二国記,新潮文庫,"小野,不由美,1960-","小野, 不由美, 1960-",新潮社,201210,,630,,,,,,,
9784396614379,ヘンな日本美術史,ヘン ナ ニホン ビジュツシ,,,,"山口,晃,1969-","山口, 晃, 1969-",祥伝社,201211,,1800,,,,,,,
9784101240510,魔性の子,マショウ ノ コ,,お-37-51. 十二国記,新潮文庫,"小野,不由美,1960-","小野, 不由美, 1960-",新潮社,201207,,670,,,,,,,
9784101240558,東の海神西の滄海,ヒガシ ノ ワダツミ ニシ ノ ソウカイ,,お-37-55. 十二国記,新潮文庫,"小野,不由美,1960-","小野, 不由美, 1960-",新潮社,201301,,590,,,,,,,
9784087474398,白夜行,ビャクヤコウ,,,集英社文庫,"東野,圭吾,1958-","東野, 圭吾, 1958-",集英社,200205,,1000,,,,,,,
9784150314545,万博聖戦,バンパク セイセン,,1454,ハヤカワ文庫 JA,"牧野,修,1958-","牧野, 修, 1958-",早川書房,202011,,1140,,,,,,,
9784101250311,首折り男のための協奏曲,クビオリオトコ ノ タメ ノ キョウソウキョク,,い-69-11,新潮文庫,"伊坂,幸太郎,1971-","伊坂, 幸太郎, 1971-",新潮社,201612,,670,,,,,,,"首折り男の周辺
濡れ衣の話
僕の舟
人間らしく
月曜日から逃げろ
相談役の話
合コンの話"
9784575513448,告白,コクハク,,み-21-01,双葉文庫,"湊,かなえ","湊, かなえ",双葉社,201004,,619,,,,,,,
9784101250335,クジラアタマの王様,クジラアタマ ノ オウサマ,,い-69-13,新潮文庫,"伊坂,幸太郎,1971-","伊坂, 幸太郎, 1971-",新潮社,202207,,750,,,,,,,
9784904292778,玄関の覗き穴から差してくる光のように生まれたはずだ,ゲンカンノノゾキアナカラサシテクルヒカリノヨウニウマレタハズダ,,,,木下龍也／著 岡野大嗣／著,木下龍也 / 岡野大嗣,ナナロク社,20180107,136,1400,0092,一般,単行本,文学,https://cover.openbd.jp/9784904292778.jpg,男子高校生ふたりの七日間をふたりの歌人が短歌で描いた物語、二一七首のミステリー。最注目の新世代歌人、初の共著。,
9784101017624,はるか,ハルカ,,や-81-2,新潮文庫,"宿野,かほる","宿野, かほる",新潮社,202110,,550,,,,,,,
9784591175064,ライオンのおやつ,ライオン ノ オヤツ,,お5-5,ポプラ文庫,"小川,糸","小川, 糸",ポプラ社,202210,,720,,,,,,,
9784065281499,汝、星のごとく,ナンジ ホシ ノ ゴトク,,,,"凪良,ゆう","凪良, ゆう",講談社,202208,,1600,,,,,,,
9784750517674,わたしは「ひとり新聞社」,ワタシハヒトリシンブンシャ,岩手県大槌町で生き、考え、伝える,,,菊池由貴子／著,菊池 由貴子,亜紀書房,20220928,264,1800,0095,一般,単行本,文学,https://cover.openbd.jp/9784750517674.jpg,"《そうだ、大槌だけの新聞をつくろう！》
町民の、町民による、町民のための小さな「大槌新聞」10年の奮闘記

----------------------

自分が生まれ育った町に何の関心も持たず、文章もろくに書いたことがない引っ込み思案な「わたし」。
震災を機に踏み出した、町と自身の再生への道のり……。

被災地復興の光と影、真のメディアとジャーナリズムのあり方を忖度なくあぶり出した、自伝的ノンフィクション。","■はじめに

第１章……生きる意義を見失っていた震災前
■私が生まれ育った町、大槌
■大病続きの人生

第2章……大槌町の新聞を作りたい
■津波が襲った日
■素人が「大槌新聞」を創刊

第3章……地域メディアミックスに挑む
■人口１万人の町だからこそ
■選挙で状況が一変する

第4章……中断された震災検証
■調査不足だった初回の検証
■二度目の検証をしたけれど
■記録誌は「検証」ではない
■誇れる民間のアーカイブ

第5章……解体された大槌町旧役場庁舎
■保存から一転、解体へ
■解体に熟慮を求めた住民
■訴訟にまで発展した末に

第6章……本当の復興はこれから
■課題はいろいろ
　・縮むまちづくり
　・官民連携の難しさ
　・地域情報はコミュニティの基礎
■地方自治の現実と可能性
・町役場で相次ぐ不祥事
・議会好きだからこそ言いたい
■復興とは何なのか
　・税金の無駄にならないために
　・古くて新しい、お祭りの力

第7章……創造的メディアをめざして
■大槌新聞とマスコミとの違い
■いつか絶対良くなる

■おわりに"
9784041080542,エミリの小さな包丁,エミリ ノ チイサナ ホウチョウ,,も21-3,角川文庫,"森沢,明夫,1969-","森沢, 明夫, 1969-",KADOKAWA,201906,,760,,,,,,,
9784041039014,キケン,キケン,,あ48-14,角川文庫,"有川,浩,1972-","有川, 浩, 1972-",KADOKAWA,201606,,600,,,,,,,"部長・上野直也という男
副部長・大神宏明の悲劇
三倍にしろ! 前編
三倍にしろ! 後編
勝たんまでも負けん!
落ち着け。俺たちは今、"
9784847071461,大人の雑学西洋画家事典 : 人柄がわかるエピソードで楽しく読める!,オトナ ノ ザツガク セイヨウ ガカ ジテン : ヒトガラ ガ ワカル エピソード デ タノシク ヨメル,,,,"らち,まゆみ,1990-","らち, まゆみ, 1990-",ワニブックス,202201,,1350,,,,,,,
9784087493573,23分間の奇跡,ニジュウサンプンカン ノ キセキ,,,集英社文庫,"Clavell,James,1921-1994 青島,幸男,1932-2006","Clavell, James, 1921-1994 / 青島, 幸男, 1932-2006",集英社,198807,,280 (税込),,,,,,,
9784062769778,カラスの親指 : by rule of CROW's thumb,カラス ノ オヤユビ : by rule of CROW's thumb,,み63-1,講談社文庫,"道尾,秀介","道尾, 秀介",講談社,201107,,743,,,,,,,
9784101802879,幽霊を信じない理系大学生、霊媒師のバイトをする,ユウレイヲシンジナイリケイダイガクセイレイバイシノバイトヲスル,,,新潮文庫ｎｅｘ（ネックス）,柞刈湯葉,柞刈 湯葉,新潮社,,,710,,,,,,,
9784121027405,日本語の発音はどう変わってきたか : 「てふてふ」から「ちょうちょう」へ、音声史の旅,ニホンゴ ノ ハツオン ワ ドウ カワッテ キタカ : テフテフ カラ チョウチョウ エ オンセイシ ノ タビ,,2740,中公新書,"釘貫,亨,1954-","釘貫, 亨, 1954-",中央公論新社,202302,,840,,,,,,,
9784152104199,すべての原付の光,スベテ　ノ　ゲンツキ　ノ　ヒカリ,,,,アマサワ／トキオ,アマサワ／トキオ,早川書房,,,,,,,,,,
9784101216539,ざんねんなスパイ,ザンネン ナ スパイ,,い-133-3,新潮文庫,"一條,次郎,1974-","一條, 次郎, 1974-",新潮社,202108,,670,,,,,,,
9784041127445,火喰鳥を、喰う,ヒクイドリ オ クウ,,は4-1,角川ホラー文庫,"原,浩,1974-","原, 浩, 1974-",KADOKAWA,202211,,720,,,,,,,
9784101234175,夜のピクニック,ヨル ノ ピクニック,,,新潮文庫,"恩田,陸,1964-","恩田, 陸, 1964-",新潮社,200609,,629,,,,,,,
9784163920504,順風満帆,クラウド ナイン,,,,"波木,銅,1999-","波木, 銅, 1999-",文藝春秋,202512,,1600,,,,,,,"順風満帆
ラッキーパンチ・ドランカー
結局のところ、わたしたちはみな
フェイクファー
楽園ベイベー"
9784101802855,イデアの再臨,イデア ノ サイリン,,こ-77-2. nex,新潮文庫,"五条,紀夫","五条, 紀夫",新潮社,202405,,590,,,,,,,
9784488798024,ときときチャンネル　宇宙飲んでみた,トキトキチャンネルウチュウノンデミタ,,,創元ＳＦ文庫,宮澤伊織,宮澤 伊織,,,,840,,,,,,,
9784334108793,5A73,ゴエーナナサン,,,光文社文庫,詠坂雄二,詠坂雄二,,,,,,,,,,,
9784041064290,ぼぎわんが、来る,ボギワン ガ クル,,Hさ4-1,角川ホラー文庫,"澤村,伊智,1979-","澤村, 伊智, 1979-",KADOKAWA,201802,,680,,,,,,,
9784167921255,汚れた手をそこで拭かない,ヨゴレタ テ オ ソコ デ フカナイ,,あ90-2,文春文庫,"芦沢,央,1984-","芦沢, 央, 1984-",文藝春秋,202311,,700,,,,,,,"ただ、運が悪かっただけ
埋め合わせ
忘却
お蔵入り
ミモザ"
9784101269313,何者,ナニモノ,,あ-78-1,新潮文庫,"朝井,リョウ","朝井, リョウ",新潮社,201507,,590,,,,,,,
9784041144022,やまのめの六人,ヤマノメ ノ ロクニン,,は4-2,角川ホラー文庫,"原,浩,1974-","原, 浩, 1974-",KADOKAWA,202312,,780,,,,,,,
